index,Energy
1986-01-01,69.4
1986-02-01,69.4
1986-03-01,67.1
1986-04-01,62.6
1986-05-01,61.0
1986-06-01,60.8
1986-07-01,60.6
1986-08-01,60.4
1986-09-01,59.6
1986-10-01,59.1
1986-11-01,59.7
1986-12-01,59.9
1987-01-01,60.7
1987-02-01,62.0
1987-03-01,63.2
1987-04-01,63.6
1987-05-01,63.7
1987-06-01,64.4
1987-07-01,64.7
1987-08-01,65.0
1987-09-01,65.5
1987-10-01,65.3
1987-11-01,65.5
1987-12-01,65.5
1988-01-01,65.5
1988-02-01,64.6
1988-03-01,64.1
1988-04-01,64.8
1988-05-01,65.4
1988-06-01,65.2
1988-07-01,65.3
1988-08-01,64.2
1988-09-01,64.3
1988-10-01,63.9
1988-11-01,63.3
1988-12-01,63.1
1989-01-01,63.6
1989-02-01,64.0
1989-03-01,64.4
1989-04-01,65.0
1989-05-01,67.5
1989-06-01,67.9
1989-07-01,68.1
1989-08-01,68.1
1989-09-01,68.0
1989-10-01,67.8
1989-11-01,68.1
1989-12-01,67.8
1990-01-01,69.4
1990-02-01,70.2
1990-03-01,70.8
1990-04-01,71.4
1990-05-01,72.2
1990-06-01,72.6
1990-07-01,72.4
1990-08-01,72.6
1990-09-01,73.4
1990-10-01,76.7
1990-11-01,79.3
1990-12-01,79.2
1991-01-01,82.6
1991-02-01,77.9
1991-03-01,75.4
1991-04-01,74.1
1991-05-01,76.3
1991-06-01,76.5
1991-07-01,77.5
1991-08-01,77.3
1991-09-01,77.8
1991-10-01,76.3
1991-11-01,76.3
1991-12-01,75.4
1992-01-01,77.6
1992-02-01,75.6
1992-03-01,75.1
1992-04-01,75.2
1992-05-01,76.3
1992-06-01,77.5
1992-07-01,79.0
1992-08-01,78.1
1992-09-01,77.6
1992-10-01,77.5
1992-11-01,78.3
1992-12-01,78.2
1993-01-01,78.6
1993-02-01,78.2
1993-03-01,77.6
1993-04-01,77.7
1993-05-01,78.2
1993-06-01,78.9
1993-07-01,78.6
1993-08-01,78.1
1993-09-01,78.4
1993-10-01,78.0
1993-11-01,78.0
1993-12-01,77.1
1994-01-01,76.4
1994-02-01,77.3
1994-03-01,77.5
1994-04-01,77.4
1994-05-01,78.1
1994-06-01,79.2
1994-07-01,79.9
1994-08-01,80.6
1994-09-01,79.8
1994-10-01,78.2
1994-11-01,79.5
1994-12-01,78.8
1995-01-01,78.5
1995-02-01,78.7
1995-03-01,79.2
1995-04-01,79.5
1995-05-01,81.3
1995-06-01,81.2
1995-07-01,80.6
1995-08-01,79.5
1995-09-01,79.7
1995-10-01,78.8
1995-11-01,78.5
1995-12-01,79.5
1996-01-01,79.5
1996-02-01,79.3
1996-03-01,80.6
1996-04-01,81.7
1996-05-01,84.3
1996-06-01,83.1
1996-07-01,81.0
1996-08-01,81.1
1996-09-01,81.7
1996-10-01,83.4
1996-11-01,83.3
1996-12-01,83.8
1997-01-01,84.4
1997-02-01,84.9
1997-03-01,84.5
1997-04-01,83.1
1997-05-01,83.2
1997-06-01,83.6
1997-07-01,82.9
1997-08-01,84.6
1997-09-01,84.9
1997-10-01,84.2
1997-11-01,83.2
1997-12-01,82.9
1998-01-01,82.3
1998-02-01,80.8
1998-03-01,79.9
