STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
IDC,M,3,SNOW WC,20040501 0000,20040501 0000,---, ,INCHES
IDC,M,3,SNOW WC,20040601 0000,20040601 0000,---, ,INCHES
INN,M,3,SNOW WC,19860201 0000,19860128 0000,7.40,,INCHES
INN,M,3,SNOW WC,19860301 0000,19860227 0000,16.80,,INCHES
INN,M,3,SNOW WC,19860401 0000,19860326 0000,13.00,,INCHES
INN,M,3,SNOW WC,19870201 0000,19870203 0000,3.20,,INCHES
INN,M,3,SNOW WC,19870301 0000,19870227 0000,6.20,,INCHES
INN,M,3,SNOW WC,19870401 0000,19870331 0000,5.20,,INCHES
INN,M,3,SNOW WC,19880201 0000,19880127 0000,7.00,,INCHES
INN,M,3,SNOW WC,19880301 0000,19880224 0000,6.10,,INCHES
INN,M,3,SNOW WC,19880401 0000,19880330 0000,1.40,,INCHES
INN,M,3,SNOW WC,19890201 0000,19890130 0000,10.20,,INCHES
INN,M,3,SNOW WC,19890301 0000,19890227 0000,10.60,,INCHES
INN,M,3,SNOW WC,19890401 0000,19890327 0000,10.00,,INCHES
INN,M,3,SNOW WC,19900101 0000,19900101 0000,---, ,INCHES
INN,M,3,SNOW WC,19900201 0000,19900201 0000,5.70,,INCHES
INN,M,3,SNOW WC,19900301 0000,19900301 0000,---, ,INCHES
INN,M,3,SNOW WC,19900401 0000,19900327 0000,7.80,,INCHES
INN,M,3,SNOW WC,19900501 0000,19900501 0000,---, ,INCHES
INN,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
INN,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
INN,M,3,SNOW WC,19910101 0000,19910101 0000,---, ,INCHES
INN,M,3,SNOW WC,19910201 0000,19910201 0000,---, ,INCHES
INN,M,3,SNOW WC,19910301 0000,19910301 0000,---, ,INCHES
INN,M,3,SNOW WC,19910401 0000,19910327 0000,8.90,,INCHES
INN,M,3,SNOW WC,19910501 0000,19910501 0000,---, ,INCHES
INN,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
INN,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
INN,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
INN,M,3,SNOW WC,19920201 0000,19920204 0000,6.00,,INCHES
INN,M,3,SNOW WC,19920301 0000,19920226 0000,7.20,,INCHES
INN,M,3,SNOW WC,19920401 0000,19920320 0000,4.30,,INCHES
INN,M,3,SNOW WC,19920501 0000,19920501 0000,---, ,INCHES
INN,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
INN,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
INN,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
INN,M,3,SNOW WC,19930201 0000,19930129 0000,16.40,,INCHES
INN,M,3,SNOW WC,19930301 0000,19930226 0000,24.70,,INCHES
INN,M,3,SNOW WC,19930401 0000,19930330 0000,19.20,,INCHES
INN,M,3,SNOW WC,19930501 0000,19930428 0000,8.00,,INCHES
INN,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
INN,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
INN,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
INN,M,3,SNOW WC,19940201 0000,19940126 0000,5.00,,INCHES
INN,M,3,SNOW WC,19940301 0000,19940302 0000,8.10,,INCHES
INN,M,3,SNOW WC,19940401 0000,19940401 0000,3.00,,INCHES
INN,M,3,SNOW WC,19940501 0000,19940502 0000,0.00,,INCHES
INN,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
INN,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
INN,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
INN,M,3,SNOW WC,19950201 0000,19950126 0000,12.11,,INCHES
INN,M,3,SNOW WC,19950301 0000,19950301 0000,13.40,,INCHES
INN,M,3,SNOW WC,19950401 0000,19950401 0000,---, ,INCHES
INN,M,3,SNOW WC,19950501 0000,19950501 0000,---, ,INCHES
INN,M,3,SNOW WC,19950601 0000,19950601 0000,---, ,INCHES
INN,M,3,SNOW WC,19950701 0000,19950701 0000,---, ,INCHES
INN,M,3,SNOW WC,19960101 0000,19960101 0000,---, ,INCHES
INN,M,3,SNOW WC,19960201 0000,19960201 0000,---, ,INCHES
INN,M,3,SNOW WC,19960301 0000,19960301 0000,---, ,INCHES
INN,M,3,SNOW WC,19960401 0000,19960401 0000,---, ,INCHES
INN,M,3,SNOW WC,19960501 0000,19960501 0000,---, ,INCHES
INN,M,3,SNOW WC,19960601 0000,19960601 0000,---, ,INCHES
INN,M,3,SNOW WC,19960701 0000,19960701 0000,---, ,INCHES
INN,M,3,SNOW WC,19970101 0000,19970101 0000,---, ,INCHES
INN,M,3,SNOW WC,19970201 0000,19970201 0000,---, ,INCHES
INN,M,3,SNOW WC,19970301 0000,19970301 0000,---, ,INCHES
INN,M,3,SNOW WC,19970401 0000,19970401 0000,---, ,INCHES
INN,M,3,SNOW WC,19970501 0000,19970501 0000,---, ,INCHES
INN,M,3,SNOW WC,19970601 0000,19970601 0000,---, ,INCHES
INN,M,3,SNOW WC,19970701 0000,19970701 0000,---, ,INCHES
INN,M,3,SNOW WC,19980101 0000,19980101 0000,---, ,INCHES
INN,M,3,SNOW WC,19980201 0000,19980201 0000,---, ,INCHES
INN,M,3,SNOW WC,19980301 0000,19980301 0000,---, ,INCHES
INN,M,3,SNOW WC,19980401 0000,19980401 0000,---, ,INCHES
INN,M,3,SNOW WC,19980501 0000,19980501 0000,---, ,INCHES
INN,M,3,SNOW WC,19980601 0000,19980601 0000,---, ,INCHES
INN,M,3,SNOW WC,19980701 0000,19980701 0000,---, ,INCHES
INN,M,3,SNOW WC,19981001 0000,19981001 0000,---, ,INCHES
INN,M,3,SNOW WC,19981101 0000,19981101 0000,---, ,INCHES
INN,M,3,SNOW WC,19981201 0000,19981201 0000,---, ,INCHES
INN,M,3,SNOW WC,19990101 0000,19990101 0000,---, ,INCHES
INN,M,3,SNOW WC,19990201 0000,19990201 0000,---, ,INCHES
INN,M,3,SNOW WC,19990301 0000,19990301 0000,---, ,INCHES
INN,M,3,SNOW WC,19990401 0000,19990401 0000,---, ,INCHES
INN,M,3,SNOW WC,19990501 0000,19990501 0000,---, ,INCHES
INN,M,3,SNOW WC,19990601 0000,19990601 0000,---, ,INCHES
INN,M,3,SNOW WC,19990701 0000,19990701 0000,---, ,INCHES
INN,M,3,SNOW WC,19990801 0000,19990801 0000,---, ,INCHES
INN,M,3,SNOW WC,19990901 0000,19990901 0000,---, ,INCHES
INN,M,3,SNOW WC,19991001 0000,19991001 0000,---, ,INCHES
INN,M,3,SNOW WC,19991101 0000,19991101 0000,---, ,INCHES
INN,M,3,SNOW WC,19991201 0000,19991201 0000,---, ,INCHES
INN,M,3,SNOW WC,20000101 0000,20000101 0000,---, ,INCHES
INN,M,3,SNOW WC,20000201 0000,20000201 0000,---, ,INCHES
INN,M,3,SNOW WC,20000301 0000,20000301 0000,---, ,INCHES
INN,M,3,SNOW WC,20000401 0000,20000401 0000,---, ,INCHES
INN,M,3,SNOW WC,20000501 0000,20000501 0000,---, ,INCHES
INN,M,3,SNOW WC,20000601 0000,20000601 0000,---, ,INCHES
INN,M,3,SNOW WC,20000701 0000,20000701 0000,---, ,INCHES
INN,M,3,SNOW WC,20000801 0000,20000801 0000,---, ,INCHES
INN,M,3,SNOW WC,20000901 0000,20000901 0000,---, ,INCHES
INN,M,3,SNOW WC,20010101 0000,20010101 0000,---, ,INCHES
INN,M,3,SNOW WC,20010201 0000,20010201 0000,---, ,INCHES
INN,M,3,SNOW WC,20010301 0000,20010301 0000,---, ,INCHES
INN,M,3,SNOW WC,20010401 0000,20010401 0000,---, ,INCHES
INN,M,3,SNOW WC,20010501 0000,20010501 0000,---, ,INCHES
INN,M,3,SNOW WC,20010601 0000,20010601 0000,---, ,INCHES
INN,M,3,SNOW WC,20020101 0000,20020101 0000,---, ,INCHES
INN,M,3,SNOW WC,20020201 0000,20020201 0000,---, ,INCHES
INN,M,3,SNOW WC,20020301 0000,20020301 0000,---, ,INCHES
INN,M,3,SNOW WC,20020401 0000,20020401 0000,---, ,INCHES
INN,M,3,SNOW WC,20020501 0000,20020501 0000,---, ,INCHES
INN,M,3,SNOW WC,20020601 0000,20020601 0000,---, ,INCHES
INN,M,3,SNOW WC,20030101 0000,20030101 0000,---, ,INCHES
INN,M,3,SNOW WC,20030201 0000,20030201 0000,---, ,INCHES
INN,M,3,SNOW WC,20030301 0000,20030301 0000,---, ,INCHES
INN,M,3,SNOW WC,20030401 0000,20030401 0000,---, ,INCHES
INN,M,3,SNOW WC,20030501 0000,20030501 0000,---, ,INCHES
INN,M,3,SNOW WC,20030601 0000,20030601 0000,---, ,INCHES
INN,M,3,SNOW WC,20040101 0000,20040101 0000,---, ,INCHES
INN,M,3,SNOW WC,20040201 0000,20040201 0000,---, ,INCHES
INN,M,3,SNOW WC,20040301 0000,20040301 0000,---, ,INCHES
INN,M,3,SNOW WC,20040401 0000,20040401 0000,---, ,INCHES
INN,M,3,SNOW WC,20040501 0000,20040501 0000,---, ,INCHES
INN,M,3,SNOW WC,20040601 0000,20040601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19860101 0000,19860101 0000,5.60,,INCHES
TK2,M,3,SNOW WC,19860201 0000,19860127 0000,6.50,,INCHES
TK2,M,3,SNOW WC,19860301 0000,19860301 0000,13.20,,INCHES
TK2,M,3,SNOW WC,19860401 0000,19860329 0000,11.30,,INCHES
TK2,M,3,SNOW WC,19870101 0000,19861230 0000,0.00,,INCHES
TK2,M,3,SNOW WC,19870201 0000,19870126 0000,3.70,,INCHES
TK2,M,3,SNOW WC,19870401 0000,19870325 0000,6.60,,INCHES
TK2,M,3,SNOW WC,19880201 0000,19880203 0000,7.00,,INCHES
TK2,M,3,SNOW WC,19880301 0000,19880227 0000,6.20,,INCHES
TK2,M,3,SNOW WC,19880401 0000,19880404 0000,0.00,,INCHES
TK2,M,3,SNOW WC,19890201 0000,19890130 0000,8.40,,INCHES
TK2,M,3,SNOW WC,19890301 0000,19890226 0000,8.80,,INCHES
TK2,M,3,SNOW WC,19890401 0000,19890327 0000,12.80,,INCHES
TK2,M,3,SNOW WC,19900101 0000,19891229 0000,2.60,,INCHES
TK2,M,3,SNOW WC,19900201 0000,19900201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19900301 0000,19900226 0000,12.00,,INCHES
TK2,M,3,SNOW WC,19900401 0000,19900402 0000,7.00,,INCHES
TK2,M,3,SNOW WC,19900501 0000,19900501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19910101 0000,19910101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19910201 0000,19910126 0000,1.80,,INCHES
TK2,M,3,SNOW WC,19910301 0000,19910301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19910401 0000,19910326 0000,9.10,,INCHES
TK2,M,3,SNOW WC,19910501 0000,19910501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920201 0000,19920201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920301 0000,19920301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920401 0000,19920330 0000,4.10,,INCHES
TK2,M,3,SNOW WC,19920501 0000,19920501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930201 0000,19930201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930301 0000,19930301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930401 0000,19930331 0000,24.20,,INCHES
TK2,M,3,SNOW WC,19930501 0000,19930501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940201 0000,19940201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940301 0000,19940301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940401 0000,19940328 0000,7.80,,INCHES
TK2,M,3,SNOW WC,19940501 0000,19940501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950201 0000,19950201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950301 0000,19950301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950401 0000,19950401 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950501 0000,19950501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950601 0000,19950601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19950701 0000,19950701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960101 0000,19960101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960201 0000,19960201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960301 0000,19960301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960401 0000,19960401 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960501 0000,19960501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960601 0000,19960601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19960701 0000,19960701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970101 0000,19970101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970201 0000,19970201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970301 0000,19970301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970401 0000,19970401 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970501 0000,19970501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970601 0000,19970601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19970701 0000,19970701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980101 0000,19980101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980201 0000,19980201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980301 0000,19980301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980401 0000,19980401 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980501 0000,19980501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980601 0000,19980601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19980701 0000,19980701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19981001 0000,19981001 0000,---, ,INCHES
TK2,M,3,SNOW WC,19981101 0000,19981101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19981201 0000,19981201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990101 0000,19990101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990201 0000,19990201 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990301 0000,19990301 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990401 0000,19990401 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990501 0000,19990501 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990601 0000,19990601 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990701 0000,19990701 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990801 0000,19990801 0000,---, ,INCHES
TK2,M,3,SNOW WC,19990901 0000,19990901 0000,---, ,INCHES
TK2,M,3,SNOW WC,19991001 0000,19991001 0000,---, ,INCHES
TK2,M,3,SNOW WC,19991101 0000,19991101 0000,---, ,INCHES
TK2,M,3,SNOW WC,19991201 0000,19991201 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000101 0000,20000101 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000201 0000,20000201 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000301 0000,20000301 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000401 0000,20000401 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000501 0000,20000501 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000601 0000,20000601 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000701 0000,20000701 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000801 0000,20000801 0000,---, ,INCHES
TK2,M,3,SNOW WC,20000901 0000,20000901 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010101 0000,20010101 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010201 0000,20010201 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010301 0000,20010301 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010401 0000,20010401 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010501 0000,20010501 0000,---, ,INCHES
TK2,M,3,SNOW WC,20010601 0000,20010601 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020101 0000,20020101 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020201 0000,20020201 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020301 0000,20020301 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020401 0000,20020401 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020501 0000,20020501 0000,---, ,INCHES
TK2,M,3,SNOW WC,20020601 0000,20020601 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030101 0000,20030101 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030201 0000,20030201 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030301 0000,20030301 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030401 0000,20030401 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030501 0000,20030501 0000,---, ,INCHES
TK2,M,3,SNOW WC,20030601 0000,20030601 0000,---, ,INCHES
TK2,M,3,SNOW WC,20040101 0000,20040101 0000,---, ,INCHES
TK2,M,3,SNOW WC,20040201 0000,20040201 0000,---, ,INCHES
